Year,Age,Sex,Population
2036,15-19,persons,3411432
2036,20-24,persons,3962834
2036,25-29,persons,4229356
2036,30-34,persons,4304075
2036,35-39,persons,4397123
2036,40-44,persons,4388900
2036,45-49,persons,4294443
2036,50-54,persons,3921879
2036,55-59,persons,3563259
2036,60-64,persons,3400559
2036,65-69,persons,3562964
2036,70-74,persons,3317110
2036,75-79,persons,2625581
2036,80-84,persons,1909733
2036,85-89,persons,1438640
2036,90-94,persons,629222
2036,95-99,persons,148826
2037,0-4,male,1545689
2037,5-9,male,1566087
2037,10-14,male,1579956
2037,15-19,male,1732256
2037,20-24,male,2014429
2037,25-29,male,2185882
2037,30-34,male,2221610
2037,35-39,male,2205317
2037,40-44,male,2172642
2037,45-49,male,2109209
2037,50-54,male,1922351
2037,55-59,male,1773067
2037,60-64,male,1616057
2037,65-69,male,1698956
2037,70-74,male,1588103
2037,75-79,male,1265703
2037,80-84,male,874019
2037,85-89,male,578483
2037,90-94,male,271997
2037,95-99,male,50026
2037,0-4,female,1469647
2037,5-9,female,1487024
2037,10-14,female,1498971
2037,15-19,female,1643121
2037,20-24,female,1909558
2037,25-29,female,2081014
2037,30-34,female,2112652
2037,35-39,female,2176692
2037,40-44,female,2232147
2037,45-49,female,2237150
2037,50-54,female,2061061
2037,55-59,female,1880859
2037,60-64,female,1703823
2037,65-69,female,1833965
2037,70-74,female,1761007
2037,75-79,female,1446734
2037,80-84,female,1077507
2037,85-89,female,802669
2037,90-94,female,436481
2037,95-99,female,104356
2037,0-4,persons,3015336
2037,5-9,persons,3053111
2037,10-14,persons,3078927
2037,15-19,persons,3375377
2037,20-24,persons,3923987
2037,25-29,persons,4266896
2037,30-34,persons,4334262
2037,35-39,persons,4382009
2037,40-44,persons,4404789
2037,45-49,persons,4346359
2037,50-54,persons,3983412
2037,55-59,persons,3653926
2037,60-64,persons,3319880
2037,65-69,persons,3532921
2037,70-74,persons,3349110
2037,75-79,persons,2712437
2037,80-84,persons,1951526
2037,85-89,persons,1381152
2037,90-94,persons,708478
2037,95-99,persons,154382
2038,0-4,male,1550483
2038,5-9,male,1567972
2038,10-14,male,1583680
2038,15-19,male,1705794
2038,20-24,male,1996003
2038,25-29,male,2184218
2038,30-34,male,2244105
2038,35-39,male,2216065
2038,40-44,male,2190563
2038,45-49,male,2122769
2038,50-54,male,1959186
2038,55-59,male,1809159
2038,60-64,male,1594612
2038,65-69,male,1676241
2038,70-74,male,1593255
2038,75-79,male,1300929
2038,80-84,male,898673
2038,85-89,male,568740
2038,90-94,male,288474
2038,95-99,male,53966
2038,0-4,female,1474206
2038,5-9,female,1488811
2038,10-14,female,1502865
2038,15-19,female,1616491
2038,20-24,female,1892573
2038,25-29,female,2079044
2038,30-34,female,2135865
2038,35-39,female,2166113
2038,40-44,female,2234856
2038,45-49,female,2239565
2038,50-54,female,2103915
2038,55-59,female,1928937
2038,60-64,female,1683942
2038,65-69,female,1808349
2038,70-74,female,1769041
2038,75-79,female,1491827
2038,80-84,female,1104083
2038,85-89,female,788330
2038,90-94,female,462340
2038,95-99,female,111467
2038,0-4,persons,3024689
2038,5-9,persons,3056783
2038,10-14,persons,3086545
2038,15-19,persons,3322285
2038,20-24,persons,3888576
2038,25-29,persons,4263262
2038,30-34,persons,4379970
2038,35-39,persons,4382178
2038,40-44,persons,4425419
2038,45-49,persons,4362334
2038,50-54,persons,4063101
2038,55-59,persons,3738096
2038,60-64,persons,3278554
2038,65-69,persons,3484590
2038,70-74,persons,3362296
2038,75-79,persons,2792756
2038,80-84,persons,2002756
2038,85-89,persons,1357070
2038,90-94,persons,750814
2038,95-99,persons,165433
2039,0-4,male,1555802
2039,5-9,male,1570226
2039,10-14,male,1588199
2039,15-19,male,1681247
2039,20-24,male,1983479
2039,25-29,male,2177482
2039,30-34,male,2254149
2039,35-39,male,2231037
2039,40-44,male,2206980
2039,45-49,male,2141612
2039,50-54,male,1995714
2039,55-59,male,1823949
2039,60-64,male,1608545
2039,65-69,male,1641625
2039,70-74,male,1593190
2039,75-79,male,1335756
2039,80-84,male,926060
2039,85-89,male,567646
2039,90-94,male,294829
2039,95-99,male,59066
2039,0-4,female,1479264
2039,5-9,female,1490949
2039,10-14,female,1507397
2039,15-19,female,1592826
2039,20-24,female,1878926
2039,25-29,female,2073603
2039,30-34,female,2149134
2039,35-39,female,2162652
2039,40-44,female,2232640
2039,45-49,female,2248491
2039,50-54,female,2142714
2039,55-59,female,1952189
2039,60-64,female,1703362
2039,65-69,female,1770169
2039,70-74,female,1770405
2039,75-79,female,1536646
2039,80-84,female,1134165
2039,85-89,female,786720
